      1 gender yearsExperience
      2 female 1
      8 female 2
      8 male 2
     42 female 3
     24 male 3
     75 female 4
     58 male 4
    108 female 5
    104 male 5
    189 female 6
    170 male 6
    241 female 7
    230 male 7
    328 female 8
    304 male 8
    296 female 9
    358 male 9
    134 female 10
    194 male 10
     87 female 11
    142 male 11
     37 female 12
     73 male 12
     15 female 13
     20 male 13
      3 female 14
     20 male 14
      3 female 15
      7 male 15
      1 female 16
      8 male 16
      2 male 17
      3 male 18
